rule,ruleName,type
archive\.scottish\.parliament\.uk/s3/bills,bills,NA
(?<filter>parliament\.uk/business/bills-and-legislation),bills and legislation,NA
parliament\.uk/business/bills-and-legislation/current-bills/current-bills/,Bills before Parliament,NA
(?<filter>services\.parliament\.uk/bills/(\d{4})-(\d{2})),{1}-{2} Session,Date
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=41,{3}-{2}-{1},Date
publications\.parliament\.uk/pa/pabills/(\d{4})(\d{2}),{1}-{2},Date
(?<filter>www\.parliament\.uk/biographies),biography,NA
parliament\.uk/business/committees/.+/blog,Blog,NA
parliament\.uk/business/publications/research/eu-referendum,Brexit,NA
secondreading\.parliament\.uk.*/brexit,Brexit,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/bribery-bill-,Bribery Bill,NA
publications\.parliament\.uk/.+/ldbrief,Briefing/ Report,NA
parliament\.uk/worksofart/collection-highlights/british-history,British history,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/broadcasting,Broadcasting,NA
parliament\.uk/worksofart/collection-highlights/buildings,Buildings,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/business-and-enterprise-committee-,Business and Enterprise Committee,NA
publications\.parliament\.uk/.+/cmbeis,"Business, Energy and Industrial Strategy Committee",NA
parliament\.uk/business/committees/committees-a-z/commons-select/business-energy-industrial-strategy,"Business, Energy and Industrial Strategy Committee",NA
publications\.parliament\.uk/.+/cmbis,"Business, Innovation and Skills Committee",NA
parliament\.uk/documents/commons-committees/business-innovation-and-skills,"Business, Innovation and Skills Committee",NA
parliament\.uk/mps-lords-and-offices/members-allowances/house-of-commons/allowances-by-mp,By MP,NA
parliament\.uk/about/how/elections-and-voting/by-elections,By-elections,NA
(?<filter>calendar\.parliament\.uk),calendar,NA
(?<filter>services\.parliament\.uk/calendar),calendar,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/catering-committee-,Catering Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/ceremony-of-introduction,Ceremony of Introduction,NA
parliament\.uk/about/living-heritage/evolutionofparliament/legislativescrutiny,Changes in legislative authority,NA
publications\.parliament\.uk/.+/ldchar,Charities Committee,NA
parliament\.uk/documents/lords-committees/charities,Charities Committee,NA
publications\.parliament\.uk/.+/cmchilsch,"Children, Schools and Families Committee",NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/children-schools-and-families-committee-,"Children, Schools and Families Committee",NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/chinook-zd-576,Chinook ZD 576,NA
parliament\.uk/business/committees/committees-a-z/lords-select/citizenship-civic-engagement,Citizenship and Civic Engagement Committee,NA
parliament\.uk/documents/lords-committees/Citizenship-civic-engagement,Citizenship and Civic Engagement Committee,NA
publications\.parliament\.uk/.+/cmcode,Code of Conduct,NA
publications\.parliament\.uk/pa/ld/ldcond/,Code of Conduct,NA
archive\.scottish\.parliament\.uk/business/committees/historic/ad-child,Commissioner for Children and Young People (Scotland) Bill,NA
(?<filter>parliament\.uk/business/committees),committees,NA
parliament\.uk/documents/lords-committees/committee-bulletin,Committee Bulletin,NA
parliament\.uk/mps-lords-and-offices/offices/commons/committee-office,Committee Directorate,NA
parliament\.uk/business/committees/committees-a-z/lords-select/privileges-committee-for-privileges,Committee for Privileges and Conduct,NA
parliament\.uk/documents/lords-committees/privileges,Committee for Privileges and Conduct,NA
parliament\.uk/business/committees/committees-a-z/lords-select/committeeofselection,Committee of Selection,NA
publications\.parliament\.uk/.+/cmadopt,Committee on Adoption and Children Bill,NA
publications\.parliament\.uk/.+/cmarmed,Committee on Armed Forces,NA
parliament\.uk/business/committees/committees-a-z/other-committees/committee-on-arms-export-controls,Committee on Arms Export Controls,NA
publications\.parliament\.uk/.+/ldasdy,Committee on Assisted Dying for the Terminally Ill Bill,NA
publications\.parliament\.uk/.+/lddigital,Committee on Digital Skills,NA
publications\.parliament\.uk/.+/ldfoinfo,Committee on Draft Freedom of Information Bill,NA
publications\.parliament\.uk/.+/cmeduemp,Committee on Education and Employment,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/privilege-police-searches-on-the-parliamentary-estate,Committee on Issue of Privilege (Police Searches on the Parliamentary Estate),NA
publications\.parliament\.uk/.+/cmmodern,Committee on Modernisation of the House of Commons,NA
parliament\.uk/documents/lords-committees/Demographicchange,Committee on Public Service and Demographic Change,NA
parliament\.uk/business/committees/committees-a-z/other-committees/speakers-committee-on-the-electoral-commission,Committee on Standards in Public Life,NA
publications\.parliament\.uk/.+/cmstatin,Committee on Statutory Instruments,NA
publications\.parliament\.uk/.+/ldnhssus,Committee on the Long-term Sustainability of the NHS,NA
parliament\.uk/documents/lords-committees/NHS-Sustainability,Committee on the Long-term Sustainability of the NHS,NA
publications\.parliament\.uk/.+/cmlcd,Committee on the Lord Chancellor's Department,NA
publications\.parliament\.uk/.+/cmtlgr,"Committee on Transport, Local Government and the Regions",NA
parliament\.uk/business/publications/committees,Committee publication,NA
publications\.parliament\.uk/.+/ldchin,Committee to review Chinook ZD 576 crash,NA
parliament\.uk/mps-lords-and-offices/offices/lords/committee-work,Committee work,NA
