rule,ruleName,type
parliament\.uk/business/committees/committees-a-z/commons-select/energy-and-climate-change-committee,Energy and Climate Change Committee,NA
(?<filter>fuellingthedebate\.parliament\.uk),Energy and Climate Change Committee,NA
publications\.parliament\.uk/.+/cmenergy,Energy Committee,NA
parliament\.uk/documents/commons-public-bill-office/.+/English-votes-for-English-laws,English votes for English laws,NA
archive\.scottish\.parliament\.uk/business/committees/enterprise,Enterprise and Culture,NA
archive\.scottish\.parliament\.uk/business/committees/historic/x-enterprise,Enterprise and Lifelong Learning,NA
archive\.scottish\.parliament\.uk/business/committees/environment,Environment and Rural Development,NA
publications\.parliament\.uk/.+/cmenvfru,"Environment, Food and Rural Affairs Committee",NA
parliament\.uk/business/committees/committees-a-z/commons-select/environment-food-and-rural-affairs-committee,"Environment, Food and Rural Affairs Committee",NA
parliament\.uk/documents/commons-committees/environment-food-rural-affairs,"Environment, Food and Rural Affairs Committee",NA
parliament\.uk/business/committees/committees-a-z/commons-select/environment-food-and-rural-affairs-committee/environment-food-and-rural-affairs-sub-committee,"Environment, Food and Rural Affairs Sub-Committee",NA
publications\.parliament\.uk/.+/cmenvtra,"Environment, Transport and Regional Affairs Committee",NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/environment-transport-and-regional-affairs-committee-,"Environment, Transport and Regional Affairs Committee",NA
archive\.scottish\.parliament\.uk/corporate/AnualReports/Env_AnnualReports,Environmental,NA
publications\.parliament\.uk/.+/cmenvaud,Environmental Audit Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/environmental-audit-committee,Environmental Audit Committee,NA
parliament\.uk/documents/commons-committees/environmental-audit,Environmental Audit Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/equal,Equal Opportunities,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/equal,Equal Opportunities,NA
parliament\.uk/business/committees/committees-a-z/lords-select/equality-act-2010-and-disability,Equality Act 2010 and Disability Committee,NA
parliament\.uk/documents/lords-committees/equality-act,Equality Act 2010 and Disability Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-environment-and-agriculture-sub-committee-d,"EU Agriculture, Fisheries, Environment and Energy Sub-Committee (Sub-Committee D)",NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-economic-and-financial-affairs-and-international-trade-sub-committee-a,EU Economic and Financial Affairs Sub-Committee (Sub-Committee A),NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-energy-environment-subcommittee,EU Energy and Environment Sub-Committee,NA
parliament\.uk/documents/lords-committees/eu-energy-environment-subcommittee,EU Energy and Environment Sub-Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-external-affairs-subcommittee,EU External Affairs Sub-Committee,NA
parliament\.uk/documents/lords-committees/eu-external-affairs-subcommittee,EU External Affairs Sub-Committee (C),NA
parliament\.uk/documents/lords-committees/eu-sub-com-c,EU External Affairs Sub-Committee (C),NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu---foreign-affairs-defence-and-development-policy-sub-committee-c,EU External Affairs Sub-Committee (Sub-Committee C),NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-financial-affairs-subcommittee,EU Financial Affairs Sub-Committee,NA
parliament\.uk/documents/lords-committees/eu-financial-affairs-subcommittee,EU Financial Affairs Sub-Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-home-affairs-subcommittee,EU Home Affairs Sub-Committee,NA
parliament\.uk/documents/lords-committees/eu-home-affairs-subcommittee,EU Home Affairs Sub-Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-home-affairs-sub-committee-f-,"EU Home Affairs, Health and Education Sub-Committee (Sub-Committee F)",NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-internal-market-subcommittee,EU Internal Market Sub-Committee,NA
parliament\.uk/documents/lords-committees/eu-internal-market-subcommittee,EU Internal Market Sub-Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu---internal-market-sub-committee-b,"EU Internal Market, Infrastructure and Employment Sub-Committee (Sub-Committee B)",NA
parliament\.uk/documents/lords-committees/eu-sub-com-e,EU Justice and Institutions Sub-Committee (E),NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-justice-subcommittee,EU Justice Sub-Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-law-and-institutions-sub-committee-e,"EU Justice, Institutions and Consumer Protection Sub-Committee (Sub-Committee E)",NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-select-committee,EU Select Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/eu-social-policy-and-consumer-affairs-sub-committee-g,EU Social Policies and Consumer Protection (Sub-Committee G),NA
archive\.scottish\.parliament\.uk/s3/committees/europe,European and External Relations,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/europe,European and External Relations,NA
publications\.parliament\.uk/.+/cmgeneral/euro,European Committee,NA
parliament\.uk/business/publications/hansard/commons/gc-debates/european-committee,European Committee,NA
publications\.parliament\.uk/.+/cmeuleg,European Scrutiny Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/european-scrutiny-committee,European Scrutiny Committee,NA
parliament\.uk/documents/commons-committees/european-scrutiny,European Scrutiny Committee,NA
parliament\.uk/mps-lords-and-offices/offices/delegations/esda,European Security and Defence Assembly,NA
parliament\.uk/documents/lords-committees/eu-select,European Union Committee,NA
publications\.parliament\.uk/.+/ldeucom,European Union Committee (and Subcommittees),NA
parliament\.uk/worksofart/collection-highlights/events,Events,NA
parliament\.uk/documents/commons-committees/science-technology/evidence-tests,Evidence tests,NA
\.xlsx?$,Excel,NA
parliament\.uk/mps-lords-and-offices/offices/commons/executive-committee,Executive Committee,NA
parliament\.uk/documents/commons-chief-executive/ExCoPapers,Executive Committee Paper,NA
publications\.parliament\.uk/.+/cmexeu,Exiting the European Union Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/exiting-the-european-union-committee,Exiting the European Union Committee,NA
parliament\.uk/documents/commons-committees/Exiting-the-European-Union,Exiting the European Union Committee,NA
publications\.parliament\.uk/.+/cmpribus/PB_EM(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
parliament\.uk/mps-lords-and-offices/offices/lords/house-of-lords-external-communications,External Communications,NA
parliament\.uk/business/committees/committees-a-z/lords-select/extradition-law,Extradition Law Committee,NA
(?<filter>parliament\.uk/about/faqs),FAQ,NA
lordsbusiness\.parliament\.uk/Documents/Download\?[^&]+&filename=([^.]+).,File name: {1},NA
archive\.scottish\.parliament\.uk/s3/committees/finance,Finance,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/finance,Finance,NA
parliament\.uk/business/committees/committees-a-z/commons-select/finance-and-services-committee,Finance and Services Committee,NA
publications\.parliament\.uk/.+/cmfinserv,Finance Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/finance-committee,Finance Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/finance-committee,Finance Committee,NA
parliament\.uk/documents/commons-committees/finance-and-services,Finance Committee,NA
parliament\.uk/documents/lords-committees/Finance-Lords,Finance Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/financial-exclusion,Financial Exclusion Committee,NA
parliament\.uk/documents/lords-committees/financial-exclusion,Financial Exclusion Committee,NA
publications\.parliament\.uk/.+/cmpribus/pb(\d{2})(\d{2})(\d{2})\.,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmpribus/pb(\d{2})(\d{2})(\d{2})day,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmfaff,Foreign Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/foreign-affairs-committee,Foreign Affairs Committee,NA
parliament\.uk/documents/commons-committees/foreign-affairs,Foreign Affairs Committee,NA
parliament\.uk/business/committees/.+/formal-minutes,Formal minutes,NA
parliament\.uk/business/committees/committees-a-z/former-committees,Former,NA
archive\.scottish\.parliament\.uk/s3/committees/forthXbill,Forth Crossing Bill,NA
(?<filter>parliament\.uk/documents/foi),Freedom of Information,NA
parliament\.uk/mps-lords-and-offices/offices/lords/freedom-of-information-in-the-house-of-lords,Freedom of Information,NA
parliament\.uk/site-information/foi,Freedom of Information,NA
parliament\.uk/site-information/foi/foi-and-eir,Freedom of Information and Environmental Information Regulations,NA
parliament\.uk/business/news/(\d{4})/(\w+),"{2}, {1}",Date
parliament\.uk/business/committees/.+/news-parliament-(\d{4}),{1},Date
publications\.parliament\.uk/.+/cmfbusi,Future Business,NA
publications\.parliament\.uk/.+/cmagenda/fb(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
parliament\.uk/business/publications/hansard/commons/gc-debates,General committee debates,NA
publications\.parliament\.uk/.+/cmgeneral,General Committee Debates (Commons),NA
parliament\.uk/about/how/committees/general,General committees,NA
parliament\.uk/documents/commons-chief-executive/GE2015,General election 2015,NA
parliament\.uk/documents/commons-chief-executive/GE2017,general election 2017,NA
(?<filter>parliament\.uk/about/general-election-2017),general election 2017,NA
parliament\.uk/about/how/elections-and-voting/general,General elections,NA
(?<filter>parliament\.uk/get-involved),get involved,NA
parliament\.uk/business/lords/get-involved-with-the-lords,Get involved with the Lords,NA
archive\.scottish\.parliament\.uk/business/committees/glasgowAirLinkBill,Glasgow Airport Rail Link Bill,NA
(?<filter>parliament\.uk/site-information/glossary),Glossary,NA
parliament\.uk/business/commons/governance-of-the-house-of-commons-,Governance,NA
parliament\.uk/mps-lords-and-offices/offices/commons/governance-office,Governance Office,NA
(?<filter>parliament\.uk/mps-lords-and-offices/government-and-opposition1),Government and Opposition,NA
parliament\.uk/about/how/committees/grandcommittees,Grand committees,NA
parliament\.uk/documents/DPRR/GFD,Guidance for departments,NA
parliament\.uk/business/publications/parliamentary-archives/explore-guides-to-documentary-archive-,Guides to documentary archive,NA
parliament\.uk/about/how/publications1,Guides to Parliament,NA
(?<filter>hansard\.parliament\.uk),Hansard,NA
parliament\.uk/mps-lords-and-offices/offices/commons/hansard,Hansard,NA
hansard\.parliament\.uk/search/MemberContributions.+type=(\w+),Hansard contribution type: {1},NA
hansard\.parliament\.uk/search/MemberContributions,Hansard contributions,NA
parliament\.uk/get-involved/have-your-say-on-laws,Have your say: Laws and debates,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/health,Health,NA
archive\.scottish\.parliament\.uk/s3/committees/hs,Health and Sport,NA
publications\.parliament\.uk/.+/cmhealth,Health Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/health-committee,Health Committee,NA
parliament\.uk/documents/commons-committees/Health,Health Committee,NA
parliament\.uk/mps-lords-and-offices/mps/find-your-mp-help,Help with Find Your MP,NA
(?<filter>parliament\.uk/documents/heritage),Heritage,NA
publications\.parliament\.uk/.+/cmhs2,High Speed Rail (London - West Midlands) Bill Select Committee,NA
publications\.parliament\.uk/.+/ldhs2,High Speed Rail (London - West Midlands) Bill Select Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/high-speed-rail-london-west-midlands-bill-select-committee-commons,High Speed Rail (London - West Midlands) Bill Select Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/high-speed-rail-london-west-midlands-bill-select-committee-lords,High Speed Rail (London - West Midlands) Bill Select Committee,NA
parliament\.uk/documents/commons-committees/hs2,High Speed Rail (London - West Midlands) Bill Select Committee,NA
parliament\.uk/documents/lords-committees/High-Speed-Rail,High Speed Rail (London - West Midlands) Bill Select Committee,NA
parliament\.uk/business/publications/hansard/.+/historic-hansard,Historic Hansard,NA
(?<filter>api\.parliament\.uk/historic-hansard),Historic Hansard,NA
parliament\.uk/about/podcasts/toursofparliament,History of Parliament,NA
parliament\.uk/business/lords/lords-history,History of the Lords,NA
parliament\.uk/documents/lords-committees/hivaids,HIV and AIDS in the UK Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/hiv-select-committee,HIV and AIDS in the UK Select Committee,NA
secondreading\.parliament\.uk.*/home-affairs,Home Affairs,NA
publications\.parliament\.uk/.+/cmhaff,Home Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/home-affairs-committee,Home Affairs Committee,NA
parliament\.uk/documents/commons-committees/home-affairs,Home Affairs Committee,NA
publications\.parliament\.uk/.+/ldhouse,House Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/house-committee,House Committee,NA
parliament\.uk/documents/lords-committees/house,House Committee,NA
(?<filter>hansard\.parliament\.uk/commons),House of Commons,NA
(?<filter>publications\.parliament\.uk/pa/cm/),Commons publications,NA
(?<filter>parliament\.uk/documents/commons/),House of Commons,NA
parliament\.uk/documents/publications-records/House-of-Commons-Publications,House of Commons,NA
parliament\.uk/business/publications/commons,House of Commons,NA
parliament\.uk/business/commons,House of Commons,NA
parliament\.uk/about/living-heritage/evolutionofparliament/houseofcommons,House of Commons,NA
parliament\.uk/business/committees/committees-a-z/other-committees/house-of-commons-commission,House of Commons Commission,NA
parliament\.uk/mps-lords-and-offices/offices/commons/hcio,House of Commons Enquiry Service,NA
parliament\.uk/business/committees/committees-a-z/commons-select/house-of-commons-governance-committee,House of Commons Governance Committee,NA
(?<filter>hansard\.parliament\.uk/lords),House of Lords,NA
(?<filter>publications\.parliament\.uk/pa/ld/),Lords publications,NA
(?<filter>parliament\.uk/documents/lords/),House of Lords,NA
parliament\.uk/documents/publications-records/House-of-Lords-Publications,House of Lords,NA
parliament\.uk/business/publications/lords,House of Lords,NA
parliament\.uk/business/publications/house-of-lords-publications,House of Lords,NA
parliament\.uk/business/lords,House of Lords,NA
parliament\.uk/about/living-heritage/evolutionofparliament/houseoflords,House of Lords,NA
parliament\.uk/business/committees/committees-a-z/other-committees/house-of-lords-audit,House of Lords Audit Committee,NA
(?<filter>lordsbusiness\.parliament\.uk),Lords business,NA
parliament\.uk/business/committees/committees-a-z/lords-select/house-of-lords-commission,House of Lords Commission,NA
parliament\.uk/documents/lords-committees/house-of-lords-commission,House of Lords Commission,NA
(?<filter>parliament\.uk/documents/hl-managementboard),House of Lords Management Board,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/house-of-lords-offices,House of Lords Offices,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/house-of-lords-reform,House of Lords Reform,NA
parliament\.uk/mps-lords-and-offices/standards-and-financial-interests/house-of-lords-commissioner-for-standards-,House of Lords Standards and Interests,NA
(?<filter>parliament\.uk/about/how),how Parliament works,NA
parliament\.uk/business/lords/house-lords-administration,How the Lords is run,NA
parliament\.uk/mps-lords-and-offices/offices/lords/lordshro,Human Resources Office,NA
parliament\.uk/business/bills-and-legislation/current-bills/hybrid-bills/,Hybrid bills,NA
publications\.parliament\.uk/.+/ldhybrid,Hybrid Instruments Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/hybrid-instruments-committee,Hybrid Instruments Committee,NA
(?<filter>parliament\.uk/documents/impact-assessments),Impact Assessments,NA
publications\.parliament\.uk/.+/ldinfo,Information Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/information-committee-,Information Committee (Commons Former Committee),NA
parliament\.uk/business/committees/committees-a-z/lords-select/information-committee,Information Committee (Lords),NA
parliament\.uk/business/committees/committees-a-z/lords-select/inheritance-and-trustees-powers-bill,Inheritance and Trustees' Powers Bill [HL] Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/innovation-universities-science-and-skills-committee,"Innovation, Universities, Science and Skills Committee",NA
parliament\.uk/business/committees/committees-a-z/lords-select/inquiries-act-2005,Inquiries Act 2005 Committee,NA
parliament\.uk/business/committees/.+/inquiries,Inquiry,NA
parliament\.uk/business/committees/.+/inquiries/parliament-(\d{4}),{1},Date
parliament\.uk/business/committees/committees-a-z/lords-select/ip-unjustified-threats-bill,Intellectual Property (Unjustified Threats) Bill Committee,NA
archive\.scottish\.parliament\.uk/business/committees/membersinterests,Interests of Members of the Scottish Parliament Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/intergovernmental-organisations,Intergovernmental Organisations,NA
publications\.parliament\.uk/.+/cmintdev,International Development Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/international-development-committee,International Development Committee,NA
parliament\.uk/documents/commons-committees/international-development,International Development Committee,NA
publications\.parliament\.uk/.+/ldintrel,International Relations Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/international-relations-committee,International Relations Committee,NA
parliament\.uk/documents/lords-committees/International-Relations-Committee,International Relations Committee,NA
publications\.parliament\.uk/.+/cmintrade,International Trade Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/international-trade-committee,International Trade Committee,NA
parliament\.uk/documents/commons-committees/international-trade,International Trade Committee,NA
parliament\.uk/get-involved/education-programmes,Join a learning programme,NA
(?<filter>parliament\.uk/documents/joint-committees),Joint Committee document,NA
publications\.parliament\.uk/.+/jtconsol,Joint Committee on Consolidation Bills,NA
parliament\.uk/business/committees/committees-a-z/joint-select/consolidation-committee,Joint Committee on Consolidation Bills,NA
parliament\.uk/documents/joint-committees/consolidation-bills,Joint Committee on Consolidation Bills,NA
publications\.parliament\.uk/.+/jtconv,Joint Committee on Conventions,NA
publications\.parliament\.uk/.+/jtdcc,Joint Committee on Draft Civil Contingencies Bill,NA
parliament\.uk/documents/joint-committees/draft-house-lords-reform,Joint Committee on House of Lords Reform,NA
publications\.parliament\.uk/.+/jtrights,Joint Committee on Human Rights,NA
parliament\.uk/business/committees/committees-a-z/joint-select/human-rights-committee,Joint Committee on Human Rights,NA
parliament\.uk/documents/joint-committees/human-rights,Joint Committee on Human Rights,NA
publications\.parliament\.uk/.+/jtpriv,Joint Committee on Parliamentary Privilege,NA
parliament\.uk/documents/joint-committees/Parliamentary-Privilege,Joint Committee on Parliamentary Privilege,NA
parliament\.uk/documents/joint-committees/Privacy-and-Injunctions,Joint Committee on Privacy and Injunctions,NA
publications\.parliament\.uk/.+/jtstatin,Joint Committee on Statutory Instruments,NA
parliament\.uk/business/committees/committees-a-z/joint-select/statutory-instruments,Joint Committee on Statutory Instruments,NA
parliament\.uk/documents/commons-committees/statutory-instruments,Joint Committee on Statutory Instruments,NA
publications\.parliament\.uk/.+/jtlawbil,Joint Committee on Tax Law Rewrite Bills,NA
publications\.parliament\.uk/.+/jtbribe,Joint Committee on the Draft Bribery Bill,NA
publications\.parliament\.uk/.+/jtcare,Joint Committee on the Draft Care and Support Bill,NA
parliament\.uk/documents/joint-committees/Draft-Care-and-Support-Bill,Joint Committee on the Draft Care and Support Bill,NA
publications\.parliament\.uk/.+/jtchar,Joint Committee on the Draft Charities Bill,NA
publications\.parliament\.uk/.+/jtclimate,Joint Committee on the Draft Climate Change Bill,NA
publications\.parliament\.uk/.+/jtcom,Joint Committee on the Draft Communications Bill,NA
publications\.parliament\.uk/.+/jtdraftcomuni,Joint Committee on the Draft Communications Data Bill,NA
parliament\.uk/documents/joint-committees/communications-data,Joint Committee on the Draft Communications Data Bill,NA
publications\.parliament\.uk/.+/jtconren,Joint Committee on the Draft Constitutional Renewal Bill,NA
publications\.parliament\.uk/.+/jtcorr,Joint Committee on the Draft Corruption Bill,NA
publications\.parliament\.uk/.+/jtdefam,Joint Committee on the Draft Defamation Bill,NA
parliament\.uk/documents/joint-committees/Draft-Defamation-Bill,Joint Committee on the Draft Defamation Bill,NA
publications\.parliament\.uk/.+/jtdraftdereg,Joint Committee on the Draft Deregulation Bill,NA
publications\.parliament\.uk/.+/jtdetent,Joint Committee on the Draft Detention of Terrorist Suspects (Temporary Extension) Bill,NA
parliament\.uk/documents/joint-committees/detention-terrorists-suspects-bills,Joint Committee on the Draft Detention of Terrorist Suspects (Temporary Extension) Bills,NA
publications\.parliament\.uk/.+/jtdisab,Joint Committee on the Draft Disability Discrimination Bill,NA
publications\.parliament\.uk/.+/jtdraftterror,Joint Committee on the Draft Enhanced Terrorism Prevention and Investigation Measures Bill,NA
parliament\.uk/documents/joint-committees/Draft-ETPIMS-Bill,Joint Committee on the Draft Enhanced Terrorism Prevention and Investigation Measures Bill,NA
publications\.parliament\.uk/.+/jtdraftfin,Joint Committee on the Draft Financial Services Bill,NA
parliament\.uk/documents/joint-committees/Draft-Financial-Services-Bill,Joint Committee on the Draft Financial Services Bill,NA
publications\.parliament\.uk/.+/jtgamb,Joint Committee on the Draft Gambling Bill,NA
publications\.parliament\.uk/.+/jtregc,Joint Committee on the Draft Gambling Bill (Regional Casinos),NA
publications\.parliament\.uk/.+/jtdraftref,Joint Committee on the Draft House of Lords Reform Bill,NA
parliament\.uk/documents/joint-committees/draft-house-lords-reform-bill,Joint Committee on the Draft House of Lords Reform Bill,NA
publications\.parliament\.uk/.+/jtinvpowers,Joint Committee on the Draft Investigatory Powers Bill,NA
parliament\.uk/documents/joint-committees/draft-investigatory-powers-bill,Joint Committee on the Draft Investigatory Powers Bill,NA
publications\.parliament\.uk/.+/jtlegal,Joint Committee on the Draft Legal Services Bill,NA
publications\.parliament\.uk/.+/jtmarine,Joint Committee on the Draft Marine Bill,NA
publications\.parliament\.uk/.+/jtment,Joint Committee on the Draft Mental Health Bill,NA
publications\.parliament\.uk/.+/jtdmi,Joint Committee on the Draft Mental Incapacity Bill,NA
parliament\.uk/documents/joint-committees/draft-mental-incapacity-bill,Joint Committee on the Draft Mental Incapacity Bill,NA
publications\.parliament\.uk/.+/jtslavery,Joint Committee on the Draft Modern Slavery Bill,NA
parliament\.uk/documents/joint-committees/Draft-Modern-Slavery-Bill,Joint Committee on the Draft Modern Slavery Bill,NA
parliament\.uk/documents/joint-committees/draft-protection-of-charities,Joint Committee on the Draft Protection of Charities Bill,NA
publications\.parliament\.uk/.+/jtdraftvoting,Joint Committee on the Draft Voting Eligibility (Prisoners) Bill,NA
parliament\.uk/documents/joint-committees/Draft-Voting-Eligibility-Prisoners-Bill,Joint Committee on the Draft Voting Eligibility (Prisoners) Bill,NA
publications\.parliament\.uk/.+/jtembryos,Joint Committee on the Human Tissue and Embryos (Draft) Bill,NA
publications\.parliament\.uk/.+/jtnatsec,Joint Committee on the National Security Strategy,NA
parliament\.uk/business/committees/committees-a-z/joint-select/national-security-strategy,Joint Committee on the National Security Strategy,NA
parliament\.uk/documents/joint-committees/national-security-strategy,Joint Committee on the National Security Strategy,NA
publications\.parliament\.uk/.+/jtpow,Joint Committee on the Palace of Westminster,NA
parliament\.uk/business/committees/committees-a-z/joint-select/joint-committee-on-the-palace-of-westminster,Joint Committee on the Palace of Westminster,NA
parliament\.uk/documents/joint-committees/Palace%20of%20Westminster,Joint Committee on the Palace of Westminster,NA
parliament\.uk/about/how/committees/joint,Joint committees,NA
parliament\.uk/business/committees/committees-a-z/joint-select,Joint Select,NA
publications\.parliament\.uk/.+/jtselect,Committee,NA
archive\.scottish\.parliament\.uk/business/journalMinutes,Journal of Parliamentary Proceedings,NA
parliament\.uk/documents/commons-committees/journal-office/,Journal office documents,NA
archive\.scottish\.parliament\.uk/s3/committees/justice,Justice,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/justice1,Justice 1,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/justice2,Justice 2,NA
archive\.scottish\.parliament\.uk/business/committees/justice2sub,Justice 2 Sub-Committee,NA
publications\.parliament\.uk/.+/cmjust,Justice Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/justice-committee,Justice Committee,NA
parliament\.uk/documents/commons-committees/Justice,Justice Committee,NA
parliament\.uk/documents/commons-public-bill-office/.+/keeling-schedules,Keeling Schedules,NA
secondreading\.parliament\.uk.*/key-issues,key issues,NA
parliament\.uk/business/publications/research/key-issues-for-the-new-parliament,Key Issues for the New Parliament publication,NA
parliament\.uk/about/how/laws,Laws,NA
parliament\.uk/business/committees/committees-a-z/other-committees/leaders-group,Leader’s Group on the Working Practices of the House of Lords,NA
publications\.parliament\.uk/.+/ldleader,Leader's Group on Governance,NA
parliament\.uk/business/committees/committees-a-z/other-committees/leaders-group-governance,Leader's Group on Governance,NA
parliament\.uk/business/committees/committees-a-z/other-committees/leaders-group-on-members-leaving-the-house,Leader's Group on Members Leaving the House,NA
parliament\.uk/documents/commons-public-bill-office/.+/legislative-consent-resolutions,Legislative Consent Resolutions,NA
publications\.parliament\.uk/.+/cmliaisn,Liaison Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/liaison-committee,Liaison Committee,NA
parliament\.uk/documents/commons-committees/liaison,Liaison Committee,NA
parliament\.uk/documents/lords-committees/liaison,Liaison Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/liaison-committee,Liaison Committee (Lords),NA
publications\.parliament\.uk/.+/ldliaison,Liason Committee,NA
parliament\.uk/documents/commons/lib,Library,NA
parliament\.uk/mps-lords-and-offices/offices/commons/commonslibrary,Library,NA
parliament\.uk/documents/lords-library/Library%20Notes,Library Note,NA
researchbriefings\.files\.parliament\.uk/documents/(sn.+)/\1.pdf,Library Standard Note,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/sn,Library Standard Note,NA
researchbriefings\.files\.parliament\.uk/documents/([Ss][Nn].+)/\1.pdf,Library Standard Note,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Ss][Nn],Library Standard Note,NA
publications\.parliament\.uk/.+/ldlicact,Licensing Act 2003 Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/licensing-act-2003,Licensing Act 2003 Committee,NA
parliament\.uk/documents/lords-committees/Licensing-Act-2003,Licensing Act 2003 Committee,NA
(?<filter>parliament\.uk/about/living-heritage),Living Heritage,NA
archive\.scottish\.parliament\.uk/s3/committees/lgc,Local Government and Communities,NA
archive\.scottish\.parliament\.uk/business/committees/lg,Local Government and Transport,NA
archive\.scottish\.parliament\.uk/business/committees/historic/x-lg,Local Government and Transport,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/london-committee,London Committee,NA
publications\.parliament\.uk/.+/cmlonreg,London Regional Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/nhs-sustainability-committee,Long-Term Sustainability of the NHS Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/lord-chancellors-department-committee-,Lord Chancellor's Department Committee,NA
(?<filter>www\.parliament\.uk/biographies/lords),Lords,NA
(?<filter>parliament\.uk/mps-lords-and-offices/lords),Lords,NA
parliament\.uk/mps-lords-and-offices/offices/lords,Lords,NA
parliament\.uk/mps-lords-and-offices/members-allowances/house-of-lords,Lords,NA
(?<filter>calendar\.parliament\.uk/calendar/Lords),Lords,NA
publications\.parliament\.uk/pa/bills/lbill/(\d{4})-(\d{4})/,{1}-{2},Date
publications\.parliament\.uk/.+/ldbills,Lords Bills,NA
parliament\.uk/business/publications/business-papers/lords,Lords business papers,NA
(?<filter>parliament\.uk/documents/lords-commissioner-for-standards),Lords Commissioner for Standards,NA
(?<filter>parliament\.uk/documents/lords-committees),Lords Committee document,NA
publications\.parliament\.uk/.+/ldprivi,"Lords' Conduct Committee, Privileges and Conduct Committee",NA
parliament\.uk/business/committees/committees-a-z/lords-select/sub-committee-on-lords-conduct,Lords' Conduct Sub-Committee,NA
(?<filter>parliament\.uk/documents/lords-finance-office),Lords Finance Office document,NA
publications\.parliament\.uk/.+/ldhansrd,Lords Hansard,NA
parliament\.uk/business/publications/hansard/lords,Lords Hansard,NA
hansard\.parliament\.uk/search/MemberContributions.+house=Lords,Lords Hansard contributions,NA
(?<filter>hansard\.parliament\.uk/pdf/lords),Lords Hansard PDF,NA
researchbriefings\.files\.parliament\.uk/documents/(lif.+)/\1.pdf,Lords in Focus,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/LIF,Lords in Focus,NA
researchbriefings\.files\.parliament\.uk/documents/([Ll][Ii][Ff].+)/\1.pdf,Lords in Focus,NA
researchbriefings\.parliament\.uk/ResearchBriefing/Summary/[Ll][Ii][Ff],Lords in Focus,NA
